team,win_percentage,total_payroll,link
Los Angeles Dodgers,0.654,"267,200,832",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/LAD-2021.png
New York Yankees,0.568,"203,319,863",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/NYY-2021.png
New York Mets,0.475,"199,789,189",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/NYM-2021.png
Houston Astros,0.586,"194,472,041",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/HOU-2021.png
Boston Red Sox,0.568,"184,491,449",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/BOS-2021.png
Philadelphia Phillies,0.506,"183,852,734",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/PHI-2021.png
Los Angeles Angels,0.475,"180,349,558",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/LAA-2021.png
San Diego Padres,0.488,"178,264,272",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/SDP-2021.png
St. Louis Cardinals,0.556,"168,969,994",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/STL-2021.png
San Francisco Giants,0.66,"163,890,308",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/SFG-2021.png
Toronto Blue Jays,0.562,"150,140,253",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/TOR-2021.png
Atlanta Braves,0.547,"147,487,625",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/ATL-2021.png
Chicago Cubs,0.438,"144,607,670",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/CHC-2021.png
Washington Nationals,0.401,"144,428,436",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/WSN-2021.png
Chicago White Sox,0.574,"140,926,169",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/CHW-2021.png
Cincinnati Reds,0.512,"125,902,769",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/CIN-2021.png
Minnesota Twins,0.451,"117,533,551",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/MIN-2021.png
Colorado Rockies,0.46,"114,408,966",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/COL-2021.png
Milwaukee Brewers,0.586,"97,377,415",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/MIL-2021.png
Texas Rangers,0.37,"95,636,948",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/TEX-2021.png
Oakland Athletics,0.531,"89,650,598",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/OAK-2021.png
Arizona Diamondbacks,0.321,"88,732,929",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/ARI-2021.png
Kansas City Royals,0.457,"86,565,788",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/KCR-2021.png
Detroit Tigers,0.475,"86,348,945",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/DET-2021.png
Seattle Mariners,0.556,"81,837,448",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/SEA-2021.png
Tampa Bay Rays,0.617,"70,836,327",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/TBR-2021.png
Miami Marlins,0.414,"58,157,900",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/MIA-2021.png
Pittsburgh Pirates,0.377,"54,356,609",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/PIT-2021.png
Baltimore Orioles,0.321,"53,755,204",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/BAL-2021.png
Cleveland Indians,0.494,"50,220,534",https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/CLE-2021.png
