team,win_percentage,total_payroll,link2,link
Los Angeles Dodgers,0.654,"267,200,832",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/lad.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/LAD-2021.png
New York Yankees,0.568,"203,319,863",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nyy.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/NYY-2021.png
New York Mets,0.475,"199,789,189",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nym.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/NYM-2021.png
Houston Astros,0.586,"194,472,041",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/hou.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/HOU-2021.png
Boston Red Sox,0.568,"184,491,449",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/bos.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/BOS-2021.png
Philadelphia Phillies,0.506,"183,852,734",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/phi.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/PHI-2021.png
Los Angeles Angels,0.475,"180,349,558",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/laa.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/LAA-2021.png
San Diego Padres,0.488,"178,264,272",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/sd.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/SDP-2021.png
St. Louis Cardinals,0.556,"168,969,994",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/stl.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/STL-2021.png
San Francisco Giants,0.66,"163,890,308",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/sf.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/SFG-2021.png
Toronto Blue Jays,0.562,"150,140,253",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/tor.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/TOR-2021.png
Atlanta Braves,0.547,"147,487,625",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/atl.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/ATL-2021.png
Chicago Cubs,0.438,"144,607,670",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/chc.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/CHC-2021.png
Washington Nationals,0.401,"144,428,436",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/wsh.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/WSN-2021.png
Chicago White Sox,0.574,"140,926,169",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/chw.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/CHW-2021.png
Cincinnati Reds,0.512,"125,902,769",https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/cin.png&h=80&w=80&scale=crop&cquality=40&location=origin,https://d2p3bygnnzw9w3.cloudfront.net/req/202109021/tlogo/br/CIN-2021.png
