Year,National League,2B,American League,2B
2021 (NL AL),Bryce Harper* (PHI),42,Jeimer Candelario# (DET) • J.D. Martinez (BOS) • Whit Merrifield (KCR),42
2020 (NL AL),Freddie Freeman* (ATL),23,Cesar Hernandez# (CLE),20
2019 (NL AL),Anthony Rendon (WSN) • Corey Seager* (LAD),44,Rafael Devers* (BOS),54
2018 (NL AL),Freddie Freeman* (ATL) • Anthony Rendon (WSN),44,Alex Bregman (HOU),51
2017 (NL AL),Nolan Arenado (COL) • Daniel Murphy* (WSN),43,Jose Ramirez# (CLE),56
2016 (NL AL),Daniel Murphy* (WSN),47,David Ortiz* (BOS),48
2015 (NL AL),Matt Carpenter* (STL),44,Michael Brantley* (CLE),45
2014 (NL AL),Jonathan Lucroy (MIL),53,Miguel Cabrera (DET),52
2013 (NL AL),Matt Carpenter* (STL),55,Manny Machado (BAL),51
2012 (NL AL),Aramis Ramirez (MIL),50,Alex Gordon* (KCR),51
2011 (NL AL),Joey Votto* (CIN),40,Miguel Cabrera (DET),48
2010 (NL AL),Jayson Werth (PHI),46,Adrian Beltre (BOS),49
2009 (NL AL),Miguel Tejada (HOU),46,Brian Roberts# (BAL),56
2008 (NL AL),Lance Berkman# (HOU) • Nate McLouth* (PIT),46,Dustin Pedroia (BOS),54
2007 (NL AL),Matt Holliday (COL),50,Magglio Ordonez (DET),54
2006 (NL AL),Freddy Sanchez (PIT),53,Grady Sizemore* (CLE),53
2005 (NL AL),Derrek Lee (CHC),50,Miguel Tejada (BAL),50
2004 (NL AL),Lyle Overbay* (MIL),53,Brian Roberts# (BAL),50
2003 (NL AL),Albert Pujols (STL),51,Garret Anderson* (ANA) • Vernon Wells (TOR),49
2002 (NL AL),Bobby Abreu* (PHI),50,Garret Anderson* (ANA) • Nomar Garciaparra (BOS),56
2001 (NL AL),Lance Berkman# (HOU),55,Jason Giambi* (OAK),47
2000 (NL AL),Todd Helton* (COL),59,Carlos Delgado* (TOR),57
1999 (NL AL),Craig Biggio+ (HOU),56,Shawn Green* (TOR),45
1998 (NL AL),Craig Biggio+ (HOU),51,Juan Gonzalez (TEX),50
1997 (NL AL),Mark Grudzielanek (MON),54,John Valentin (BOS),47
1996 (NL AL),Jeff Bagwell+ (HOU),48,Alex Rodriguez (SEA),54
1995 (NL AL),Mark Grace* (CHC),51,Albert Belle (CLE) • Edgar Martinez+ (SEA),52
1994 (NL AL),Craig Biggio+ (HOU) • Larry Walker+* (MON),44,Chuck Knoblauch (MIN),45
1993 (NL AL),Charlie Hayes (COL),45,John Olerud* (TOR),54
1992 (NL AL),Andy Van Slyke* (PIT),45,Edgar Martinez+ (SEA) • Frank Thomas+ (CHW),46
1991 (NL AL),Bobby Bonilla# (PIT),44,Rafael Palmeiro* (TEX),49
1990 (NL AL),Gregg Jefferies# (NYM),40,George Brett+* (KCR) • Jody Reed (BOS),45
1989 (NL AL),Pedro Guerrero (STL) • Tim Wallach (MON),42,Wade Boggs+* (BOS),51
1988 (NL AL),Andres Galarraga (MON),42,Wade Boggs+* (BOS),45
1987 (NL AL),Tim Wallach (MON),42,Paul Molitor+ (MIL),41
1986 (NL AL),Von Hayes* (PHI),46,Don Mattingly* (NYY),53
1985 (NL AL),Dave Parker* (CIN),42,Don Mattingly* (NYY),48
1984 (NL AL),Tim Raines+# (MON) • Johnny Ray# (PIT),38,Don Mattingly* (NYY),44
1983 (NL AL),Bill Buckner* (CHC) • Al Oliver* (MON) • Johnny Ray# (PIT),38,Cal Ripken Jr.+ (BAL),47
1982 (NL AL),Al Oliver* (MON),43,Hal McRae (KCR) • Robin Yount+ (MIL),46
